player_name,Season,was_home,assists_(per_90),attempted_passes_(per_90),big_chances_created_(per_90),big_chances_missed_(per_90),completed_passes_(per_90),dribbles_(per_90),goals_scored_(per_90),key_passes_(per_90),offside_(per_90),tackled/lost_possession_(per_90),target_missed_(per_90),winning_goals_(per_90),tackles_(per_90),red_cards_(per_90),yellow_cards_(per_90)
Harry Kane (17/18),17/18,1,0,20.63446287,0.129776496,0.519105984,14.98918529,1.557317952,0.908435472,0.97332372,1.038211968,3.374188897,1.751982696,0.259552992,0.454217736,0,0.259552992
Harry Kane (17/18),17/18,0,0.106698281,17.9253112,0.213396562,0.480142264,12.59039715,1.12033195,0.800237107,0.960284529,1.387077653,2.934202727,1.760521636,0.213396562,0.266745702,0,0.05334914
Jamie Vardy (17/18),17/18,1,0.109756098,12.45731707,0.164634146,0.274390244,7.847560976,0.658536585,0.603658537,0.987804878,0.987804878,0.987804878,0.768292683,0,0.274390244,0,0.109756098
Jamie Vardy (17/18),17/18,0,0,13.43283582,0.111940299,0.055970149,7.667910448,0.559701493,0.503731343,0.839552239,1.455223881,1.343283582,0.503731343,0.167910448,0.279850746,0,0.055970149
Jay Rodriguez (17/18),17/18,1,0,21.74537988,0.061601643,0.184804928,16.0164271,0.985626283,0.184804928,0.431211499,0.492813142,2.464065708,0.800821355,0.061601643,0.739219713,0,0
Jay Rodriguez (17/18),17/18,0,0.066864785,23.40267459,0.066864785,0.066864785,16.04754829,0.668647845,0.267459138,0.936106984,0.668647845,3.276374443,1.002971768,0,0.334323923,0,0.133729569
Jordan Ayew (17/18),17/18,1,0,24.79166667,0,0.138888889,20.69444444,1.458333333,0.208333333,0.277777778,0,5.347222222,0.486111111,0,1.736111111,0.069444444,0.069444444
Jordan Ayew (17/18),17/18,0,0.115830116,27.45173745,0.057915058,0.173745174,22.41312741,3.011583012,0.231660232,0.694980695,0.463320463,4.227799228,0.694980695,0.057915058,1.216216216,0,0.057915058
Jose Izquierdo (17/18),17/18,1,0,21.0483871,0,0,16.14919355,0.997983871,0.272177419,0.544354839,0.635080645,2.358870968,0.725806452,0,0.635080645,0,0
Jose Izquierdo (17/18),17/18,0,0.457317073,26.70731707,0.365853659,0.274390244,21.49390244,1.829268293,0.182926829,1.37195122,0.640243902,1.463414634,1.280487805,0.091463415,0.274390244,0,0.182926829
Joshua King (17/18),17/18,1,0,25.35420099,0.148270181,0,18.53377265,2.3723229,0.370675453,1.482701812,0.296540362,6.153212521,0.518945634,0,0.815485997,0,0.074135091
Joshua King (17/18),17/18,0,0.291262136,25.48543689,0.291262136,0.072815534,18.71359223,1.893203883,0.218446602,1.237864078,0,5.461165049,0.655339806,0,0.72815534,0,0.145631068
Laurent Depoitre (17/18),17/18,1,0.182926829,23.04878049,0.091463415,0.182926829,13.17073171,0.274390244,0.274390244,0.548780488,0.274390244,2.37804878,0.274390244,0,0.548780488,0,0.091463415
Laurent Depoitre (17/18),17/18,0,0,24.16767922,0,0.109356015,13.88821385,0.874848117,0.328068044,0.765492102,0.437424058,2.843256379,0.437424058,0.109356015,0,0,0
Mame Biram Diouf (17/18),17/18,1,0.071656051,20.92356688,0.143312102,0.143312102,12.25318471,0.214968153,0.071656051,0.788216561,0.788216561,1.719745223,0.931528662,0,1.289808917,0,0.358280255
Mame Biram Diouf (17/18),17/18,0,0.134730539,18.05389222,0.067365269,0.336826347,10.23952096,0.538922156,0.336826347,0.606287425,0.808383234,1.616766467,0.875748503,0.067365269,0.875748503,0,0.067365269
Marko Arnautovic (17/18),17/18,1,0.348162476,25.93810445,0.435203095,0.174081238,19.23597679,1.914893617,0.435203095,1.566731141,1.479690522,2.350096712,0.87040619,0.087040619,1.044487427,0.087040619,0.348162476
Marko Arnautovic (17/18),17/18,0,0.211764706,27.03529412,0.211764706,0.282352941,18.84705882,2.470588235,0.423529412,1.129411765,1.835294118,2.823529412,0.776470588,0.141176471,0.282352941,0,0.070588235
Richarlison (17/18),17/18,1,0.231511254,23.84565916,0.289389068,0.463022508,15.04823151,1.620578778,0.231511254,0.98392283,0.636655949,3.646302251,1.273311897,0.115755627,1.15755627,0,0.057877814
Richarlison (17/18),17/18,0,0.28526149,28.09825674,0.071315372,0.28526149,18.54199683,1.283676704,0.071315372,0.570522979,0.713153724,4.564183835,1.854199683,0,0.855784469,0,0.213946117
Roberto Firmino (17/18),17/18,1,0.273972603,36.57534247,0.410958904,0.136986301,26.57534247,1.301369863,0.479452055,1.575342466,0.136986301,3.082191781,0.753424658,0.136986301,1.164383562,0,0
